YEAR	ILLINOIS	INDIANA	W. KENTUCKY
1949	"47,208,000"	"16,550,000"	"25,606,083"
1950	"56,291,000"	"19,957,000"	"24,669,296"
1951	"54,200,000"	"19,451,000"	"21,547,524"
1952	"45,790,000"	"16,360,000"	"20,848,906"
1953	"46,010,000"	"15,812,000"	"21,203,627"
1954	"41,971,000"	"13,400,000"	"22,522,622"
1955	"45,982,000"	"16,149,000"	"26,296,076"
1956	"48,102,000"	"17,089,000"	"29,805,253"
1957	"46,993,000"	"15,841,000"	"30,365,081"
1958	"43,912,000"	"15,022,000"	"28,277,469"
1959	"45,466,000"	"14,804,000"	"30,337,072"
1960	"45,977,000"	"15,538,000"	"30,403,814"
1961	"45,246,000"	"15,106,000"	"30,609,199"
1962	"48,487,000"	"15,709,000"	"31,660,499"
1963	"51,736,000"	"15,100,000"	"35,718,613"
1964	"55,023,000"	"15,075,000"	"37,981,910"
1965	"58,483,000"	"15,565,000"	"39,879,940"
1966	"63,571,000"	"17,326,000"	"41,982,473"
1967	"65,133,000"	"18,772,000"	"45,614,015"
1968	"62,441,000"	"18,486,000"	"46,130,682"
1969	"64,722,000"	"20,086,000"	"47,564,667"
1970	"65,119,000"	"22,263,000"	"52,712,435"
1971	"58,402,000"	"21,396,000"	"47,825,040"
1972	"65,523,000"	"25,949,000"	"52,304,062"
1973	"61,572,000"	"25,253,000"	"53,563,800"
1974	"58,215,000"	"23,726,000"	"51,750,866"
1975	"59,537,000"	"25,124,000"	"55,705,616"
1976	"58,239,000"	"25,369,000"	"52,834,000"
1977	"53,493,000"	"27,797,000"	"52,306,000"
1978	"48,600,000"	"24,182,000"	"39,456,000"
1979	"59,579,000"	"27,490,000"	"42,469,000"
1980	"62,543,000"	"30,873,000"	"40,958,000"
1981	"51,865,000"	"29,313,000"	"39,676,000"
1982	"60,275,000"	"31,763,000"	"39,020,000"
1983	"56,846,000"	"31,835,000"	"35,602,000"
1984	"63,769,000"	"37,555,000"	"42,267,000"
1985	"59,201,000"	"33,316,000"	"39,021,000"
1986	"61,866,000"	"32,852,000"	"41,201,000"
1987	"59,155,000"	"34,208,000"	"45,285,000"
1988	"58,594,000"	"31,271,000"	"40,328,000"
1989	"59,267,000"	"33,641,000"	"41,649,000"
1990	"60,393,000"	"35,907,000"	"44,926,000"
1991	"60,258,000"	"31,468,000"	"41,760,000"
1992	"59,857,000"	"30,466,000"	"41,686,000"
1993	"41,098,000"	"29,295,000"	"36,108,000"
1994	"52,797,000"	"30,927,000"	"37,195,000"
1995	"48,180,000"	"26,007,000"	"35,198,000"
			
			
			
			
			
			
			
			
			
			

