REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2014,International Station Power Plant,1010606,6075 Electron Drive,61.168307,-149.908115,Anchorage,ANCHORAGE,AK,99518,"Anchorage Municipal Light & Power (29%);Chugach Electric Association, Inc. (71%);",523176,C
2014,King Salmon Platform,1001944,,60.86483945,-151.6081039,Anchorage,Kenai Peninsula,AK,99503,"Hilcorp Alaska, LLC (100%);",72564,"C,W"
2014,Merrill Field Landfill,1004380,800 Merrill Field Drive,61.21422,-149.84973,Anchorage,ANCHORAGE MUNICIPALITY,AK,99501,Municipality of Anchorage - Solid Waste Services (100%);,81580,HH
2014,Monopod Platform,1006956,,60.89629614,-151.5810013,Anchorage,Kenai Peninsula,AK,99503,"Hilcorp Alaska, LLC (100%);",66510,"C,W"
2014,Nikaitchuq Development,1008534,3800 Centerpoint Dr. #300,70.557268,-149.909129,Anchorage,NORTH SLOPE,AK,99503,Eni US Operting Company Incorporated (100%);,82890,W
2014,Steelhead Platform,1001948,,60.83125466,-151.6042635,Anchorage,Kenai Peninsula,AK,99503,"Hilcorp Alaska, LLC (100%);",105793,"C,W"
2014,Swanson River Field,1007237,3800 Centerpoint Drive Ste 100,60.729357,-150.861007,Anchorage,KENAI PENINSULA,AK,99503,Hilcorp Alaska LLC (100%);,56833,C
2014,TDX NORTH SLOPE GEN/NORTH SLOPE GENERATI,1005711,615 E. 82nd Avenue Suite 200,61.14625,-149.87125,ANCHORAGE,ANCHORAGE MUNICIPALITY,AK,99518,Tanadgusix Corporation (100%);,56427,C
2014,BADAMI DEVELOPMENT FACILITY,1007807,"70.151006 N, -147.097267 W",70.2905,-148.6975,Badami Unit,NORTH SLOPE BOROUGH,AK,99734,"ASRCEX (32.5%);Savant Alaska, LLC (67.5%);",82287,W
2014,BARROW UTILITIES & ELECTRIC,1005395,1295 AGVIK STREET,71.292212,-156.779491,BARROW,NORTH SLOPE,AK,99723,"BARROW UTILITIES & ELECTRIC COOPERATIVE, INC (100%);",43786,C
2014,"FAIRBANKS NATURAL GAS, LLC/LNG PLANT #1",1006688,25849 W Ayrshire Rd,61.426549,-150.047023,BIG LAKE,MATANUSKA SUSITNA,AK,99652,"Pentex Alaska Natural Gas Co., LLC (100%);",0,
2014,CLEAR AIR FORCE STATION,1007791,200 A Street Stop 1,64.291944,-149.185,CLEAR AIR STATION,DENALI,AK,99704,CLEAR AIR FORCE STATION (100%);,89430,C
2014,UNISEA - DUTCH HARBOR,1003407,88 SALMON WAY,53.87824,-166.551311,DUTCH HARBOR,ALEUTIANS WEST,AK,99692,"UNISEA, INC (100%);",28736,C
2014,ANCHORAGE REGIONAL LANDFILL,1007341,15500 E. EAGLE RIVER LOOP RD,61.295803,-149.593062,EAGLE RIVER,ANCHORAGE,AK,99577,Municipality of Anchorage - Solid Waste Services (100%);,515510,"C,HH"
2014,EIELSON AIR FORCE BASE,1006146,"2310 CENTRAL AVE, SUITE 100",64.67145,-147.0492,EIELSON AFB,FAIRBANKS NORTH STAR,AK,99702,US GOVERNMENT (%);,345178,C
2014,CHENA POWER PLANT,1004719,1200  1ST AVE,64.84689,-147.73334,FAIRBANKS,FAIRBANKS NORTH STAR,AK,99701,"AURORA ENERGY, LLC (100%);",328082,C
2014,SOUTH CUSHMAN LANDFILL,1006806,455 SANDURI ST,64.804,-147.699,FAIRBANKS,FAIRBANKS NORTH STAR,AK,99701,Fairbanks North Star Borough  (100%);,58709,HH
2014,University of Alaska Fairbanks,1005509,802 Alumni Drive,64.853177,-147.822708,Fairbanks,FAIRBANKS NORTH STAR,AK,99775,State of Alaska (100%);,123310,C
2014,UTILITY PLANTS SECTION,1004239,"BLDG 3595, Oak Street",64.823,-147.6106,FORT WAINWRIGHT,FAIRBANKS NORTH STAR,AK,99703,Fairbanks Sewer and Water (50%);Doyon Properties Inc. (50%);,380483,C
2014,GOLDEN VALLEY ELECTRIC ASSOCIATION INC - HEALY POWER PLANT,1007068,2.5 Mile HEALY SPUR ROAD,63.8549,-148.9496,HEALY,DENALI,AK,99743,GOLDEN VALLEY ELECTRIC ASSOC (100%);,297142,C
2014,Capitol Disposal Landfill,1010389,5600 Tonsgard Court,58.354996,-134.496565,Juneau,JUNEAU,AK,99801,WASTE MANAGEMENT INC (100%);,40570,"C,HH"
2014,Coeur Alaska Inc Kensington Gold Mine,1007526,58.840829 North 135.044064 West,58.866569,-135.105727,Juneau,JUNEAU,AK,99801,Coeur Mining Incorporated (100%);,32330,C
2014,Hecla Greens Creek Mine,1006162,3000 Vintage Blvd 300,58.081802,-134.641206,Juneau,JUNEAU,AK,99801,Hecla Greens Creek Mining Company (100%);,3865,C
2014,ConocoPhillips ANGC - LNG,1005004,48237 Kenai Spur Highway,60.67869,-151.37992,Kenai,KENAI PENINSULA BOROUGH,AK,99611,CONOCO PHILLIPS (100%);,150676,"C,W"
2014,"Hilcorp Alaska, LLC Kenai Gas Field Pad 14-6",1002805,35350 Kalifornsky Beach Road,60.47473,-151.27921,Kenai,KENAI PENINSULA,AK,99611,Hilcorp Alaska LLC (100%);,25916,C
2014,"Marathon Alaska Production, LLC - Cook Inlet Basin (AAPG Basin Number 820)",1008625,35350 Kalifornsky Beach Rd.,60.47473,-151.27921,Kenai,KENAI PENINSULA,AK,99611,Marathon Oil Company (100%);,0,W
2014,TESORO ALASKA PETROLEUM CO,1007741,54741 TESORO ROAD,60.683603,-151.367204,KENAI,KENAI PENINSULA,AK,99611,TESORO CORP (100%);,577214,"C,P,Y"
2014,RED DOG OPERATIONS MINE FACILITY,1006463,,68.0322,-162.8992,KOTZEBUE,Northwest Arctic,AK,99752,TECK AMERICAN INC (100%);,149762,C
2014,"MILNE POINT PRODUCTION FACILITY, CENTRAL FACILITY PAD AND E-PAD",1001645,,70.458965,-149.441567,Milne Point Unit,North Slope,AK,99734,Hilcorp Alaska LLC (50%);BP AMERICA INC (50%);,183054,C
2014,BERNICE LAKE,1005268,55244 CHEVRON REFINERY ROAD,60.696338,-151.386638,NIKISKI,KENAI PENINSULA,AK,99635,"ALASKA ELECTRIC & ENERGY COOPERATIVE, INC (100%);",21170,C
2014,NIKISKI CO-GENERATION,1007874,48169 KENAI SPUR HIGHWAY,60.676539,-151.377713,NIKISKI,KENAI PENINSULA,AK,99635,"ALASKA ELECTRIC & ENERGY COOPERATIVE, INC (100%);",171829,C
2014,"FLINT HILLS RESOURCES ALASKA, LLC",1007491,1100 H AND H LANE,64.737264,-147.34844,NORTH POLE,FAIRBANKS NORTH STAR,AK,99705,KOCH INDUSTRIES INC (100%);,62695,"C,Y"
2014,GOLDEN VALLEY ELECTRIC ASSOC NORTH POLE POWER PLANT,1001810,1150 H & H LN,64.735968,-147.348622,NORTH POLE,FAIRBANKS NORTH STAR,AK,99705,GOLDEN VALLEY ELECTRIC ASSOC (100%);,195205,C
2014,PETRO STAR INC NORTH POLE REFINERY,1003670,1200 H AND H LANE,64.735075,-147.344709,NORTH POLE,FAIRBANKS NORTH STAR,AK,99705,ASRC (100%);,28710,"C,MM"
2014,ConocoPhillips Alaska Inc - KRU CPF1,1005789,,70.3233,-149.605,North Slope,North Slope,AK,0,BP AMERICA INC (38.38%);CONOCO PHILLIPS (54.13%);EXXONMOBIL CORP (2.53%);CHEVRON CORP (4.95%);,525680,"C,MM,Y"
2014,ConocoPhillips Alaska Inc - KRU CPF2,1004422,,70.2883,-149.8858,North Slope,North Slope,AK,0,EXXONMOBIL CORP (2.53%);CONOCO PHILLIPS (54.13%);CHEVRON CORP (4.95%);BP AMERICA INC (38.38%);,375514,C
2014,ConocoPhillips Alaska Inc - KRU CPF3,1004998,,70.3981,-149.8158,North Slope,North Slope,AK,0,CHEVRON CORP (4.95%);CONOCO PHILLIPS (54.13%);EXXONMOBIL CORP (2.53%);BP AMERICA INC (38.38%);,311778,C
2014,ConocoPhillips Alaska Inc - KRU STP,1005001,,70.5103,-149.8664,North Slope,North Slope,AK,0,CONOCO PHILLIPS (54.13%);EXXONMOBIL CORP (2.53%);BP AMERICA INC (38.38%);CHEVRON CORP (4.95%);,71703,C
2014,ConocoPhillips Company - TYK,1005736,,61.0767,-150.9478,Offshore,Kenai Peninsula,AK,0,CONOCO PHILLIPS (100%);,52644,"C,W"
2014,XTO ENERGY INC - PLATFORM C,1006029,,60.763889,-151.502222,Offshore,Kenai Peninsula,AK,0,EXXONMOBIL CORP (100%);,24471,"C,W"
2014,XTO ENERGY INC PLATFORM A,1005410,,60.795833,-151.495556,Offshore,Kenai Peninsula,AK,0,EXXONMOBIL CORP (100%);,31107,"C,W"
2014,Matanuska Susitna Borough Central Landfill,1011448,1201 N. 49th State Street,61.59047,-149.2061,Palmer,MATANUSKA-SUSITNA BOROUGH,AK,99645,Matanuska-Susitna Borough (100%);,31358,HH
2014,ALYESKA PIPELINE SE/TAPS PUMP STATION 01,1005184,,70.257222,-148.617778,PRUDHOE BAY,North Slope,AK,99734,ALYESKA PIPELINE SERVICE CO (100%);,91023,C
2014,"BP Alaska, 890 - Arctic Slope Basin",1008172,,70.300735,-148.37037,Prudhoe Bay,North Slope,AK,99734,BP AMERICA INC (100%);,113725,W
2014,BPXA CENTRAL COMPRESSOR PLANT,1001649,,70.320033,-148.500179,Prudhoe Bay,North Slope,AK,99734,BP AMERICA INC (26.4%);CONOCO PHILLIPS (36.1%);EXXONMOBIL CORP (36.4%);CHEVRON CORP (1.2%);,2881196,"C,W"
2014,BPXA CENTRAL GAS FACILITY,1001650,,70.320628,-148.52129,Prudhoe Bay,North Slope,AK,99734,BP AMERICA INC (26.4%);EXXONMOBIL CORP (36.4%);CHEVRON CORP (1.2%);CONOCO PHILLIPS (36.1%);,1719347,"C,W"
2014,BPXA CENTRAL POWER STATION,1001651,,70.275827,-148.664928,Prudhoe Bay,North Slope,AK,99734,"ConocoPhillips Alaska, Inc. (36.1%);EXXONMOBIL CORP (36.4%);Chevron USA, Inc. (1.2%);BP AMERICA INC (26.4%);",758014,C
2014,"BPXA CRUDE OIL TOPPING UNIT, PRUDHOE BAY OPERATIONS CENTER, TARMAC CAMP",1006838,,70.254036,-148.346077,Prudhoe Bay,North Slope,AK,99734,"BP AMERICA INC (26.4%);Chevron USA, Inc. (1.2%);EXXONMOBIL CORP (36.4%);ConocoPhillips Alaska, Inc. (36.1%);",26886,"C,MM,Y"
2014,BPXA FLOW STATION #1,1001799,,70.257844,-148.43581,Prudhoe Bay,North Slope,AK,99734,"ConocoPhillips Alaska, Inc. (36.1%);BP AMERICA INC (26.4%);EXXONMOBIL CORP (36.4%);Chevron USA Inc. (1.2%);",418803,C
2014,BPXA FLOW STATION #2,1001800,,70.265474,-148.332507,Prudhoe Bay,North Slope,AK,99734,"ConocoPhillips Alaska, Inc. (36.1%);EXXONMOBIL CORP (36.4%);Chevron USA, Inc. (1.2%);BP AMERICA INC (26.4%);",488982,C
2014,BPXA FLOW STATION #3,1001872,,70.254427,-148.574071,Prudhoe Bay,North Slope,AK,99734,"ConocoPhillips Alaska, Inc. (36.1%);BP AMERICA INC (26.4%);Chevron USA, Inc. (1.2%);EXXONMOBIL CORP (36.4%);",540656,C
2014,BPXA GATHERING CENTER #1,1001873,,70.306026,-148.729388,Prudhoe Bay,North Slope,AK,99734,"BP AMERICA INC (26.4%);EXXONMOBIL CORP (36.4%);Chevron USA, Inc. (1.2%);ConocoPhillips Alaska, Inc. (36.1%);",475442,C
2014,BPXA GATHERING CENTER #2,1001874,,70.310918,-148.862927,Prudhoe Bay,North Slope,AK,99734,"ConocoPhillips Alaska, Inc. (36.1%);Chevron USA, Inc. (1.2%);EXXONMOBIL CORP (36.4%);BP AMERICA INC (26.4%);",325269,C
2014,BPXA GATHERING CENTER #3,1001875,,70.283916,-148.683501,Prudhoe Bay,North Slope,AK,99734,"EXXONMOBIL CORP (36.4%);BP AMERICA INC (26.4%);Chevron USA, Inc. (1.2%);ConocoPhillips Alaska, Inc. (36.1%);",298706,C
2014,BPXA LISBURNE PRODUCTION CENTER,1001628,,70.286333,-148.43397,Prudhoe Bay,North Slope,AK,99734,CHEVRON CORP (1.2%);CONOCO PHILLIPS (36.1%);BP AMERICA INC (26.4%);EXXONMOBIL CORP (36.4%);,665270,"C,W"
2014,BPXA SEAWATER INJECTION PLANT,1001801,,70.260531,-148.446866,Prudhoe Bay,North Slope,AK,99734,"BP AMERICA INC (26.4%);Chevron USA, Inc. (1.2%);EXXONMOBIL CORP (36.4%);ConocoPhillips Alaska, Inc. (36.1%);",170333,C
2014,BPXA SEAWATER TREATMENT PLANT,1007371,,70.412133,-148.531186,Prudhoe Bay,North Slope,AK,99734,"BP AMERICA INC (26.4%);Chevron USA, Inc. (1.2%);EXXONMOBIL CORP (36.4%);ConocoPhillips Alaska, Inc. (36.1%);",146820,C
2014,Caelus Natural Resources Alaska - Oooguruk Tie-in Pad,1002157,,70.4136,-150.0123,Prudhoe Bay,North Slope,AK,99734,"eni US Operating Company (30%);Caelus Energy Alaska, LLC (70%);",35529,C
2014,ENDICOTT PRODUCTION FACILITY,1001737,,70.356789,-147.959766,Prudhoe Bay,North Slope,AK,99734,"Hilcorp Alaska LLC (67.92%);CHEVRON CORP (10.52%);CONOCO PHILLIPS (0.02%);NANA REGIONAL CORP (0.39%);Doyon, Ltd. (0.13%);EXXONMOBIL CORP (21.02%);",607118,"C,W"
2014,NORTHSTAR PROD FACILITY,1003023,,70.490882,-148.697704,Prudhoe Bay,North Slope,AK,99734,Hilcorp Alaska LLC (100%);,360455,"C,W"
2014,TRANS ALASKA PIPELINE SYSTEM PUMP STATION 3,1005185,,68.842778,-148.829722,PRUDHOE BAY,North Slope,AK,99734,ALYESKA PIPELINE SERVICE CO (100%);,72317,C
2014,TRANS ALASKA PIPELINE SYSTEM PUMP STATION 4,1005187,,68.5075,-149.675833,PRUDHOE BAY,North Slope,AK,99734,ALYESKA PIPELINE SERVICE CO (100%);,73277,C
2014,CENTRAL PENINSULA BALING FACILITY-SOLDOTNA LF,1005349,98.6 STERLING HWY.,60.4436,-151.1067,SOLDOTNA,KENAI PENINSULA,AK,99669,Kenai Peninsula Borough (100%);,53595,HH
2014,Soldotna Combustion Turbine Plant,1011532,41925 Sterling Highway,60.49962,-150.99651,Soldotna,KENAI PENINSULA BOROUGH,AK,99669,HOMER ELECTRIC ASSOCIATION (100%);,27364,C
2014,Dutch Harbor Power House,1008060,1732 East Point Rd,53.89201,-166.535995,Unalaska,ALEUTIANS WEST,AK,99685,City of Unalaska (100%);,31675,C
2014,"ALYESKA PIPELINE SERVICE COMPANY, Valdez Marine Terminal",1005781,300 DAYVILLE ROAD,61.0861,-146.3889,VALDEZ,VALDEZ CORDOVA,AK,99686,ALYESKA PIPELINE SERVICE CO (100%);,80080,C
2014,COPPER VALLEY ELECTRIC ASSOC (CoGen),1004974,,61.08304,-146.30223,Valdez,Valdez-Cordova,AK,99686,Copper Valley Electric Association (100%);,19372,C
2014,PETRO STAR VALDEZ REFINERY,1005997,2.5 MILE DAYVILLE ROAD,61.083809,-146.250842,VALDEZ,VALDEZ CORDOVA,AK,99686,ASRC (100%);,114751,"C,MM,P,Y"
2014,OAK GROVE MINE,1004512,8800 OAK GROVE MINE ROAD,33.45075,-87.03723,ADGER,JEFFERSON,AL,35006,CLIFFS NATURAL RESOURCES (100%);,1071497,"C,FF"
2014,Cheney Lime and Cement Company,1004571,1152 Old Highway 31,33.222752,-86.806502,Alabaster,SHELBY,AL,35007,CHENEY LIME & CEMENT CO (100%);,420680,"C,S"
2014,LHOIST NORTH AMERICA OF ALABAMA-ALABASTER PLANT,1006336,404 FIRST AVENUE West,33.244104,-86.820694,ALABASTER,SHELBY,AL,35007,Lhoist North America (100%);,15485,"C,S"
2014,Hillabee Energy Center,1000813,152 BRICK PLANT ROAD,33,-85.9031,ALEXANDER CITY,Tallapoosa,AL,35010,EXELON CORP (100%);,1901966,"C,D"
2014,"SNG Station 4165 DeArmanville, AL",1008458,539 Chevron Rd,33.619576,-85.778225,Anniston,CALHOUN,AL,36207,"El Paso Pipeline Partners, L.P (100%);",25108,"C,W"
2014,SOLUTIA INC ANNISTON PLANT,1000708,702 CLYDESDALE AVENUE,33.65007,-85.85466,ANNISTON,CALHOUN COUNTY,AL,36201,SOLUTIA INC (100%);,24974,C
2014,Tyler Union,1011392,1501 W. 17th St.,33.66626,-85.85367,Anniston,CALHOUN,AL,36201,"MCWANE, INC (100%);",26271,C
2014,U.S. ARMY ANNISTON ARMY DEPOT,1001890,7 FRANKFORD AVENUE,33.636922,-85.92485,ANNISTON,CALHOUN,AL,36201,US GOVERNMENT (%);,1707,C
2014,"Big Escambia Creek Gas Production, Treating and Processing Facility (BEC)	",1002251,3888 Sardis Church Road,31.0717,-87.3629,Atmore,ESCAMBIA,AL,36502,PHILLIP M HILLHOUSE (0.392016%);FAIRCHILD-WINDHAM EXPLOR CO (0.179759%);MARY JANE LANDRETH TRUST (0.070364%);JAMES D HILLHOUSE IV (0.392016%);PINEY FORK PRODUCTION CO (0.832565%);WASHOE COMPANY (0.314%);DELBERT M HACKER JR (0.031803%);WILLIAM WALLACE ALLRED (0.025%);FORTUNE NATURAL RESOURCES CORP (0.080396%);DOROTHY L SCHROEDER (0.001085%);APPALACHIAN RESOURCE MGT CO (0.37665%);RESOURCE STRATEGIES (2.196126%);SUSAN J FRY (0.012792%);TINY BELLE WILLIAMSON ANTHONY (0.00437%);Escambia Asset Co. LLC (78.14%);SARA B BATEMAN (0.000197%);PHILLIP B BERRY (0.0786%);BOTELER-WOOD PROPERTIES LLC (0.000004%);M & M RESOURCES INC (0.01362%);ICV TRUST (0.000075%);QUANTUM RESOURCES MGT LLC (3.239535%);EBB INVESTMENTS LLC (0.000004%);LP 224 LLC (5.587576%);KERBEROS CORPORATION (0.6153%);LEE MCCORMICK MARITAL DED TRST (0.02%);EDM LLC (0.000537%);ANN TOMLINSON AUTIN (0.007969%);JOHN F ORI (0.0061%);DE SOTO OIL PROPERTIES LLC (0.000011%);SANDRA LANDRETH KANE (0.012792%);TERRY LEE WARREN (0.002641%);FLORENCE F MARY (0.014722%);TRAVELERS EXPLORATION CO LLC (0.21%);JAMES L ROGERS (0.0316%);ANN T AUTIN LIFE ESTATE (0.007969%);HUGHES-CLAREMONT OIL CO (0.001109%);LEGACY RESERVES OPERATING LP (0.4448%);BEN F POST (0.038887%);WARNIE C KENNINGTON (0.000003%);JAMES RESOURCES INC (0.800591%);SEEMORE ENERGY LLC (0.86%);ALVAND RESOURCES LLC (0.012059%);MARY M WOHLFORD (0.2038%);PENSARELI INC (1.188213%);SIERRA PACIFIC CORP (0.074%);GEORGE S HILLHOUSE (0.392017%);WINSTON INC (0.002034%);EMILY FINKLEA KELLY (0.000063%);FRANK A PERKINS (0.000132%);CY E WARREN (0.002642%);ANNA CONNER PERKINS (0.000015%);PAMCO LTD (0.013618%);MARY ELLEN HUGUS (0.03158%);ROBERTSON-FINLEY RESOURCES INC (0.6114%);BO-WAR LTD PARTNERSHIP (0.000161%);RUDY RESOURCES LP (1.8079%);SHEANA W BUTLER ET AL (0.204%);THOMAS E MCMILLAN ESTATE (0.0739%);DIANE STACK ROSS (0.011091%);THE WILEY FAIRCHILD FAM TRST (0.044%);JANICE ZACKOWSKI MCCORMICK EST (0.00263%);CAROL BROADBENT FARVER (0.285497%);,436509,"C,NN,W"
2014,GOODWAY REFINING LLC,1006531,4745 ROSS ROAD,31.1761,-87.438268,ATMORE,ESCAMBIA,AL,36502,"GOODWAY REFINING, LLC (100%);",10435,"C,MM,Y"
2014,SWIFT LUMBER INC,1006710,1450 SWIFT MILL ROAD,31.032879,-87.510586,ATMORE,ESCAMBIA,AL,36502,"Swift Lumber, Inc. (100%);",0,
2014,"SNG Station 5259 Auburn, AL",1010492,5487 Lee Road 159,32.514147,-85.47086,Auburn,LEE,AL,36830,"El Paso Pipeline Partners, L.P. (100%);",24016,"C,W"
2014,E B Harris Generating Plant,1001175,600 COUNTY ROAD 41,32.3814,-86.5736,AUTAUGAVILLE,Autauga,AL,36067,Southern Company (100%);,1833116,D
2014,"Akzo Nobel Functional Chemicals, LLC",1010593,13440 Highway 43 North,30.96943,-88.0175,Axis,MOBILE,AL,36505,"Akzo Nobel Chemicals, Inc. (100%);",24129,C
2014,Lenzing Fibers Inc.,1003609,12950 US Highway 43 North,30.960932,-88.024909,Axis,MOBILE,AL,36505,Lenzing Fibers Inc (100%);,67226,C
2014,SSAB ALABAMA INCORPORATED,1005283,12400 HIGHWAY 43 NORTH,30.943048,-88.012823,AXIS,MOBILE,AL,36505,"SSAB Enterprises, LLC (100%);",328173,"C,Q"
2014,Walter Energy Inc. North River Mine,1011664,3114 CR 63 S,33.618496,-87.606817,Berry,FAYETTE COUNTY,AL,35546,WALTER ENERGY INC (100%);,0,FF
2014,"United States Pipe and Foundry Company, LLC",1006015,2023 SAINT LOUIS AVENUE,33.41702,-86.97085,BESSEMER,JEFFERSON,AL,35020,USP Holdings Inc. (100%);,143909,C
2014,TRANSCO STATION 100,1007006,642 COUNTY ROAD 62,32.670733,-86.71825,BILLINGSLEY,AUTAUGA,AL,36006,"WILLIAMS PARTNERS, LP (100%);",35886,"C,W"
2014,Tenaska Central Alabama Gen Station,1000819,3305 COUNTY ROAD 26,32.6503,-86.7386,BILLINGSLEY,Autauga,AL,36006,"DIAMOND GENERATING CORPORATION (30%);Tenaska Energy, Inc. and Tenaska Energy Holdings, LLC (35%);Tyr Energy, Inc. and Chubu Electric Power Co., Inc. (35%);",1892748,D
2014,Tenaska Lindsay Hill,1001394,3405 COUNTY ROAD 26,32.6514,-86.7386,BILLINGSLEY,Autauga,AL,36006,"Tenaska Energy, Inc. and Tenaska Energy Holdings, LLC (65%);Diamond Generating Corporation (35%);",1238820,D
2014,AMERICAN CAST IRON PIPE CO,1005327,2930 NORTH 16TH STREET,33.54698,-86.83465,BIRMINGHAM,JEFFERSON,AL,35207,American Cast Iron Pipe Company (100%);,137032,C
2014,Alabama Gas Corporation,1005967,2101 6th Avenue North,33.520058,-86.807637,BIRMINGHAM,JEFFERSON,AL,35203,THE LACLEDE GROUP INC (100%);,178726,"NN,W"
2014,"EASTERN AREA LANDFILL, BIRMINGHAM",1007018,2787 ALTON DRIVE,33.5972,-86.629,BIRMINGHAM,JEFFERSON,AL,35210,"City of Birmingham, AL (100%);",111860,HH
2014,Energen Resources Corporation 430 Permian Basin,1008836,"605 Richard Arrington, Jr. Blvd. North",33.520058,-86.807637,Birmingham,JEFFERSON,AL,35203,ENERGEN CORP (100%);,53619,"UU,W"
2014,"Kaiser Aircraft Industries, Inc",1000868,1943 50th Street North,33.554136,-86.7614,Birmingham,JEFFERSON,AL,35212,"Kaiser Group International, Inc. (100%);",0,
2014,"NEW GEORGIA LANDFILL, BIRMINGHAM",1006028,2500 47TH AVENUE NORTH,33.57511,-86.81413,BIRMINGHAM,JEFFERSON,AL,35217,"City of Birmingham, AL (100%);",104110,HH
2014,NUCOR STEEL BIRMINGHAM INC,1004152,2301 FL SHUTTLESWORTH DRIVE,33.54552,-86.80693,BIRMINGHAM,JEFFERSON COUNTY,AL,35234,Nucor Corporation (100%);,53150,"C,Q"
2014,Powell Avenue Steam Plant,1002501,12 South 19th Street,33.51493,-86.900184,Birmingham,JEFFERSON,AL,35291,SOUTHERN CO (100%);,0,
2014,SMI STEEL LLC,1003981,101 50TH STREET SOUTH,33.534104,-86.757929,BIRMINGHAM,JEFFERSON,AL,35212,COMMERCIAL METALS CO (100%);,91138,"C,Q"
2014,"WALTER COKE, INC. COKE PLANT",1006585,3500 35TH AVENUE NORTH,33.56309,-86.80022,BIRMINGHAM,JEFFERSON COUNTY,AL,35207,WALTER ENERGY INC (100%);,150740,"C,Q"
2014,Boaz Gas Board,1005450,138 North Main Street,34.198911,-86.165739,Boaz,MARSHALL,AL,35957,The Gas Board of the City of Boaz (100%);,993,"NN,W"
2014,GEORGIA-PACIFIC BREWTON LLC,1005948,32224 HIGHWAY 31 SOUTH,31.077123,-87.111402,BREWTON,ESCAMBIA,AL,36426,KOCH INDUSTRIES INC (100%);,555811,"AA,C,TT"
2014,TIMBERLANDS LANDFILL,1007274,22800 HIGHWAY 41,31.256098,-87.189056,BREWTON,ESCAMBIA,AL,36426,Escambia County Environmental Corporation (100%);,71519,HH
2014,TENNESSEE ALLOYS CORPORATION,1003716,101 GARNER RD,34.94458,-85.69987,BRIDGEPORT,JACKSON,AL,35740,GLOBE SPECIALTY METALS INC (100%);,139747,"C,K"
