REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ponds,unlined,landfill,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2014,Decatur Energy Center,1006705,2024 HIGHWAY 20 WEST,34.6292,-87.0214,DECATUR,Morgan,AL,,,,35601,"LS Power Development, LLC (100%);",408993,D
2014,E B Harris Generating Plant,1001175,600 COUNTY ROAD 41,32.3814,-86.5736,AUTAUGAVILLE,Autauga,AL,,,,36067,Southern Company (100%);,1833116,D
2014,E C Gaston,1001414,31972 HIGHWAY 25 NORTH,33.2442,-86.4567,WILSONVILLE,Shelby,AL,,,,35186,SOUTHERN CO (100%);,6981397,"C,D"
2014,Gadsden,1007423,1000 GOODYEAR AVE,34.0128,-85.9708,GADSDEN,Etowah,AL,,,,35903,SOUTHERN CO (100%);,384923,"C,D"
2014,Gorgas,1001413,460 GORGAS ROAD,33.6446,-87.2003,PARRISH,Walker,AL,,,,35580,SOUTHERN CO (100%);,4705332,"C,D"
2014,Greene County,1000364,801 Steam Plant Road,32.6017,-87.7811,Forkland,Greene,AL,,,,36740,SOUTHERN CO (100%);,2712021,D
2014,Hillabee Energy Center,1000813,152 BRICK PLANT ROAD,33,-85.9031,ALEXANDER CITY,Tallapoosa,AL,,,,35010,EXELON CORP (100%);,1901966,"C,D"
2014,Hog Bayou Energy Center,1000398,1003 PAPER MILL RD,30.7478,-88.0575,MOBILE,Mobile,AL,,,,36610,"LS Power Development, LLC (100%);",189699,"C,D"
2014,James H Miller Jr,1007227,4250 Porter Road,33.6319,-87.0597,Quinton,Jefferson,AL,,,,35130,POWERSOUTH ENERGY COOPERATIVE (4.08%);SOUTHERN CO (95.92%);,19902660,D
2014,MOBILE ENERGY SERVICES LLC,1004333,200 BAY BRIDGE ROAD,30.73427,-88.04704,MOBILE,MOBILE,AL,,,,36610,"Hyde Park Holdings, L.L.C. (50%);DTE ENERGY CO (50%);",143896,C
2014,McIntosh (7063),1006426,HWY 43 MILE 37 5,31.2546,-88.0299,MCINTOSH,Washington,AL,,,,36553,POWERSOUTH ENERGY COOPERATIVE (100%);,88314,"C,D"
2014,McWilliams,1006443,28570 US 29 NORTH,31.4001,-86.4767,GANTT,Covington,AL,,,,36038,POWERSOUTH ENERGY COOPERATIVE (100%);,1337366,"C,D"
2014,Morgan Energy Center,1006706,1410 RED HAT ROAD,34.6397,-87.0639,DECATUR,Morgan,AL,,,,35601,CALPINE CORP (100%);,1604704,D
2014,Plant H. Allen Franklin,1001163,6109 LEE ROAD 249,32.6094,-85.0961,SMITHS,Lee,AL,,,,36877,Southern Company (100%);,3823815,D
2014,Powell Avenue Steam Plant,1002501,12 South 19th Street,33.51493,-86.900184,Birmingham,JEFFERSON,AL,,,,35291,SOUTHERN CO (100%);,0,
2014,SABIC Innovative Plastics - Burkville,1001136,1 PLASTICS DR,32.3102,-86.5242,BURKVILLE,Lowndes,AL,,,,36752,SABIC US Holdings LP (100%);,382750,"C,D"
2014,Tenaska Central Alabama Gen Station,1000819,3305 COUNTY ROAD 26,32.6503,-86.7386,BILLINGSLEY,Autauga,AL,,,,36006,"DIAMOND GENERATING CORPORATION (30%);Tenaska Energy, Inc. and Tenaska Energy Holdings, LLC (35%);Tyr Energy, Inc. and Chubu Electric Power Co., Inc. (35%);",1892748,D
2014,Tenaska Lindsay Hill,1001394,3405 COUNTY ROAD 26,32.6514,-86.7386,BILLINGSLEY,Autauga,AL,,,,36006,"Tenaska Energy, Inc. and Tenaska Energy Holdings, LLC (65%);Diamond Generating Corporation (35%);",1238820,D
2014,Theodore Cogeneration,1001140,7910 Rangeline Road,30.5248,-88.1289,Theodore,Mobile,AL,,,,36582,SOUTHERN CO (100%);,727877,"C,D"
2014,Washington County Cogen (Olin),1001135,Industrial Road,31.2622,-88.0052,McIntosh,Washington,AL,,,,36553,SOUTHERN CO (100%);,504861,"C,D"
2014,Widows Creek,1001415,2800 STEAM PLANT RD,34.8825,-85.7547,STEVENSON,Jackson,AL,,,,35772,US GOVERNMENT (%);,4097832,"C,D"
2014,Carl Bailey,1001434,585 Woodruff 816,35.2597,-91.3631,AUGUSTA,Woodruff,AR,,,,72006,ARKANSAS ELECTRIC COOPERATIVE CORP (100%);,4787,"C,D"
2014,Cecil Lynch,1001429,5800 LYNCH DRIVE,34.7535,-92.1987,NORTH LITTLE ROCK,Pulaski,AR,,,,72117,ENTERGY CORP (100%);,0,
2014,City Water & Light - City of Jonesboro,1000493,1400 HANLEY DRIVE,35.8481,-90.7257,JONESBORO,Craighead,AR,,,,72403,City Water and Light Plant of the City of Jonesboro (100%);,15592,"C,D"
2014,Dell Power Plant,1000794,301 E STATE HIGHWAY 18,35.8619,-90.0253,DELL,Mississippi,AR,,,,72426,ASSOCIATED ELECTRIC COOPERATIVE INC (100%);,73776,"C,D"
2014,Flint Creek,1007203,21797 SWEPCO PLANT ROAD,36.2561,-94.5241,GENTRY,Benton,AR,,,,72734,AMERICAN ELECTRIC POWER (50%);ARKANSAS ELECTRIC COOPERATIVE CORP (50%);,3539996,D
2014,Fulton,1001152,100 AECC Road,33.6094,-93.7924,FULTON,Hempstead,AR,,,,71838,ARKANSAS ELECTRIC COOPERATIVE CORP (100%);,4630,"C,D"
2014,Hamilton Moses,1001430,HWY 70,34.9806,-90.8722,FORREST CITY,Saint Francis,AR,,,,72335,Entergy (100%);,0,
2014,Harry D. Mattison Power Plant,1000487,3046 West Liberty Avenue,36.1855,-94.2841,TONTITOWN,Washington,AR,,,,72762,AMERICAN ELECTRIC POWER (100%);,20331,D
2014,Harvey Couch,1001431,HWY 82 EAST,33.3592,-93.4649,STAMPS,Lafayette,AR,,,,71860,ENTERGY CORP (100%);,0,
2014,Hot Spring Energy Facility,1000815,696 BLACK BRANCH RD,34.2963,-92.8683,MALVERN,Hot Spring,AR,,,,72104,Entergy Corporation (100%);,505053,"C,D"
2014,Independence Steam Electric Station,1001059,555 POINT FERRY ROAD,35.6733,-91.4083,NEWARK,Independence,AR,,,,72562,"ARKANSAS ELECTRIC COOPERATIVE CORP (35%);City Water and Light of Jonesboro, AR (10%);Conway Corporation of Conway, AR (2%);City of Osceola, AR (0.5%);EAST TEXAS ELECTRIC COOPERATIVE, INC (3.57%);City of West Memphis, AR (1%);ENTERGY CORP (47.93%);",10415920,"C,D"
2014,John W Turk Jr Power Plant,1010604,3711 Highway 355 South,33.652587,-93.810368,Fulton,HEMPSTEAD,AR,,,,71838,"EAST TEXAS ELECTRIC COOPERATIVE, INC (8.333%);ARKANSAS ELECTRIC COOPERATIVE CORP (11.667%);AMERICAN ELECTRIC POWER (73.333%);OKLAHOMA MUNICIPAL POWER AUTHORITY (6.667%);",3777015,"C,D"
2014,Lake Catherine,1001432,HIGHWAY 270 9 MILES WEST OF MALVERN,34.4341,-92.9046,JONES MILL,Hot Spring,AR,,,,72105,ENTERGY CORP (100%);,55927,"C,D"
2014,MABELVALE,1000574,12303 VYME RIDGE ROAD,34.634167,-92.411111,MABELVALE,SALINE,AR,,,,72103,ENTERGY CORP (100%);,345,C
2014,Magnet Cove Generating Station,1000185,410 HENDERSON ROAD,34.4304,-92.8333,MALVERN,Hot Spring,AR,,,,72104,ARKANSAS ELECTRIC COOPERATIVE CORP (100%);,53123,D
2014,McClellan,1006593,1625 Bradley Ferry Road,33.5648,-92.7917,CAMDEN,Ouachita,AR,,,,71701,ARKANSAS ELECTRIC COOPERATIVE CORP (100%);,78194,"C,D"
2014,Oswald Generating Station,1001368,17400 HWY 365,34.5923,-92.2166,Little Rock,Pulaski,AR,,,,72206,ARKANSAS ELECTRIC COOPERATIVE CORP (100%);,74021,"C,D"
2014,Pine Bluff Energy Center,1007025,5301 FAIRFIELD ROAD,34.2181,-91.9025,PINE BLUFF,Jefferson,AR,,,,71601,CALPINE CORP (100%);,604284,"C,D"
2014,Plum Point Energy Station,1000539,2732A CR 623,35.6626,-89.9469,OSCEOLA,Mississippi,AR,,,,72370,"EAST TEXAS ELECTRIC COOPERATIVE, INC (7.52%);Plum Point Energy Associates, LLC (56.85%);Missouri Joint Municipal Electric Utility Commission (22.11%);Municipal Energy Agency of Mississippi (6%);THE EMPIRE DISTRICT ELECTRIC CO (7.52%);",3555315,"C,D"
2014,Robert E Ritchie,1007353,HWY 20,34.4629,-90.5987,HELENA,Phillips,AR,,,,72342,ENTERGY CORP (100%);,0,
2014,Thomas Fitzhugh,1001433,6006 Lock and Dam Road,35.4617,-93.8053,OZARK,Franklin,AR,,,,72949,ARKANSAS ELECTRIC COOPERATIVE CORP (100%);,15156,"C,D"
2014,Union Power Station,1000800,6434 CALION HWY,33.2961,-92.5933,EL DORADO,Union,AR,,,,71730,Entegra Power Group (100%);,2530494,D
2014,White Bluff,1001002,1100 WHITE BLUFF ROAD,34.4236,-92.1392,REDFIELD,Jefferson,AR,,,,72132,"ARKANSAS ELECTRIC COOPERATIVE CORP (35%);City of West Memphis, AR (1%);Conway Corporation of Conway, AR (2%);ENTERGY CORP (57%);City Water and Light of Jonesboro, AR (5%);",10890677,"C,D"
2014,APS Saguaro Power Plant,1001423,MAIL POST 228,32.5517,-111.3,RED ROCK,Pinal,AZ,,,,85245,PINNACLE WEST CAPITAL CORP (100%);,9899,"C,D"
2014,APS West Phoenix Power Plant,1001422,4606 WEST HADLEY,33.4417,-112.1583,PHOENIX,Maricopa,AZ,,,,85043,PINNACLE WEST CAPITAL CORP (100%);,748285,"C,D"
2014,Agua Fria Generating Station,1007206,7302 W NORTHERN AVE,33.5542,-112.2161,GLENDALE,Maricopa,AZ,,,,85303,SALT RIVER PROJECT (100%);,16815,"C,D"
2014,Apache Station,1005949,3525 N US HWY 191,32.0619,-109.8931,COCHISE,Cochise,AZ,,,,85606,ARIZONA ELECTRIC COOPERATIVE CORP (100%);,2928913,"C,D"
2014,Arlington Valley Energy Facility,1001399,39027 W ELLIOT ROAD,33.3417,-112.8897,ARLINGTON,Maricopa,AZ,,,,85322,"Star West Generation, LLC (100%);",448436,"C,D"
2014,Black Mountain Generating Station,1000489,6625 S. Yuma Road,35.0534,-114.1353,Golden Valley,Mohave,AZ,,,,86413,UNS ENERGY CORP (100%);,27729,D
2014,Cholla,1001421,4801 FRONTAGE ROAD,34.9394,-110.3033,JOSEPH CITY,Navajo,AZ,,,,86032,PACIFICORP (36%);PINNACLE WEST CAPITAL CORPORATION (64%);,7508366,D
2014,Coolidge Generating Station,1007962,"T6S, R8E, Section 10",32.9175,-111.5041,Randolph,Pinal,AZ,,,,85128,"TRANSCANADA ENERGY USA, INC (100%);",108151,D
2014,Coronado,1007103,,34.5778,-109.2717,ST JOHNS,Apache,AZ,,,,85936,SALT RIVER PROJECT (100%);,6063874,"C,D,HH"
2014,De Moss Petrie Generating Station,1007187,2501 N FLOWING WELLS ROAD,32.2511,-110.9889,TUCSON,Pima,AZ,,,,85705,UNS ENERGY CORP (100%);,4516,D
2014,Desert Basin Generating Station,1001329,1872 N BURRIS RD,32.9042,-111.7889,CASA GRANDE,Pinal,AZ,,,,85222,SALT RIVER PROJECT (100%);,616650,D
2014,Gila River Power Station,1000097,1250 E. Watermelon Road,32.9761,-112.694,Gila Bend,Maricopa,AZ,,,,85337,"Entegra Power Group (25%);Tucson Electric Power (25%);Sundevil Power Holdings, LLC (50%);",1738521,D
2014,Griffith Energy Project,1001326,3375 WEST NAVAJO DRIVE,35.0517,-114.1334,KINGMAN,Mohave,AZ,,,,86402,"Star West Generation, LLC (100%);",950007,"C,D"
2014,H Wilson Sundt Generating Station,1001425,3950 E IRVINGTON ROAD,32.16,-110.9047,TUCSON,Pima,AZ,,,,85714,UNS ENERGY CORP (100%);,653727,"C,D"
2014,Kyrene Generating Station,1000241,7005 S KYRENE RD,33.3544,-111.9364,TEMPE,Maricopa,AZ,,,,85283,SALT RIVER PROJECT (100%);,285023,"C,D"
2014,Mesquite Generating Station,1000052,37625 W ELLIOT RD,33.3451,-112.8638,ARLINGTON,Maricopa,AZ,,,,85322,Sempra U.S Gas & Power (50%);SALT RIVER PROJECT (50%);,2041921,D
2014,Navajo,1000999,,36.9047,-111.3886,PAGE,Coconino,AZ,,,,86040,Los Angeles Department of Water and Power (21.2%);NEVADA ENERGY (11.3%);SALT RIVER PROJECT (21.7%);TUCSON ELECTRIC POWER CO (7.5%);United States Bureau of Reclamation (24.3%);ARIZONA PUBLIC SERVICE CO (14%);,17248449,"C,D"
2014,"New Harquahala Generating Company, LLC",1000100,2530 NORTH 491 AVE,33.4759,-113.1133,TONOPAH,Maricopa,AZ,,,,85354,MACHGEN LLC (100%);,502009,D
2014,Novo Biopower,1006649,4047 Catalyst Rd.,34.503981,-110.33618,SNOWFLAKE,NAVAJO,AZ,,,,85937,Novo Power (100%);,4479,"C,TT"
2014,Ocotillo Power Plant,1007299,1500 EAST UNIVERSITY,33.4225,-111.9122,TEMPE,Maricopa,AZ,,,,85281,PINNACLE WEST CAPITAL CORP (100%);,54348,"C,D"
2014,Redhawk Generating Facility,1000822,11600 SOUTH 363RD AVENUE,33.33,-112.84,ARLINGTON,Maricopa,AZ,,,,85322,PINNACLE WEST CAPITAL CORP (100%);,1520078,D
2014,Santan,1000250,1005 S VAL VISTA DRIVE,33.3333,-111.751,GILBERT,Maricopa,AZ,,,,85296,SALT RIVER PROJECT (100%);,1175462,"C,D"
2014,"South Point Energy Center, LLC",1001350,3779 COURTWRIGHT RD,34.8678,-114.5317,MOHAVE VALLEY,Mohave,AZ,,,,86440,CALPINE CORP (100%);,466103,"C,D"
2014,Springerville,1001196,COUNTY ROAD #4162,34.3186,-109.1636,SPRINGERVILLE,Apache,AZ,,,,85938,TRI-STATE GENERATION & TRANSMISSION (100% Ownership of Unit 3 only) (25%);UNS ENERGY CORP (100% Ownership of Units 1 & 2 only / Operator for all units) (50%);SALT RIVER PROJECT (100% Ownership of Unit 4 only) (25%);,9945669,D
2014,Sundance Power Plant,1000237,2060 SUNDANCE ROAD,32.9285,-111.5899,CASA GRANDE,Pinal,AZ,,,,85228,PINNACLE WEST CAPITAL CORP (100%);,33433,D
2014,YUMA COGENERATION ASSOCIATES,1009168,280 N 27TH DR,32.7278,-114.65572,YUMA,YUMA COUNTY,AZ,,,,85364,Greg Abel (1%);Walter Scott Jr. (9.2%);BERKSHIRE HATHAWAY (89.8%);,32021,C
2014,Yucca Power Plant,1001424,7522 S SOMERTON AVE,32.7214,-114.7097,YUMA,Yuma,AZ,,,,85364,IMPERIAL IRRIGATION DISTRICT (29%);PINNACLE WEST CAPITAL CORP (71%);,232060,"C,D"
2014,ACE Cogeneration Company,1004830,12801 Mariposa Street,35.7655,-117.3821,Trona,SAN BERNARDINO,CA,,,,93562,ACE Cogeneration Company (100%);,368560,C
2014,AES Alamitos,1001444,690 N STUDEBAKER ROAD,33.7688,-118.1009,LONG BEACH,Los Angeles,CA,,,,90803,AES CORP (100%);,841012,D
2014,AES Huntington Beach,1001447,21730 NEWLAND ST,33.6436,-117.9788,HUNTINGTON BEACH,Orange,CA,,,,92646,AES CORP (100%);,530033,D
2014,AES Redondo Beach,1001450,1100 N HARBOR DRIVE,33.8504,-118.395,REDONDO BEACH,Los Angeles,CA,,,,90277,AES CORP (100%);,177465,D
2014,AIR PRODUCTS MANUFACTURING CORP STOCKTON COGEN,1000341,1010 ZEPHYR ST.,37.913056,-121.261944,STOCKTON,SAN JOAQUIN,CA,,,,95206,AIR PRODUCTS & CHEMICALS INC (100%);,0,
2014,Agua Mansa Power,1000423,2040 AGUA MANSA ROAD,34.0414,-117.3603,COLTON,San Bernardino,CA,,,,92324,City of Colton CA (100%);,13178,D
2014,"Algonquin Power Sanger, LLC",1005044,1125 Muscat Avenue,36.68413,-119.55227,Sanger,FRESNO COUNTY,CA,,,,93657,ALGONQUIN POWER FUND (AMERICA) INC (100%);,59922,C
2014,Almond Power Plant,1007315,4500 CROWS LANDING ROAD,37.5739,-120.9854,MODESTO,Stanislaus,CA,,,,95358,TURLOCK IRRIGATION DISTRICT (100%);,123728,D
2014,Anaheim Combustion Turbine,1001134,1144 NORTH KRAEMER BLVD,33.8539,-117.8561,ANAHEIM,Orange,CA,,,,92805,The City of Anaheim (100%);,30837,D
2014,BADGER CREEK LIMITED,1002728,34759 LENCIONI AVE,35.44675,-119.08652,BAKERSFIELD,KERN COUNTY,CA,,,,93308,"Badger Creek, Ltd. (100%);",116926,C
2014,BEAR MOUNTAIN LIMITED,1006139,34759 LENCIONI AVE,35.44675,-119.08652,BAKERSFIELD,KERN COUNTY,CA,,,,93308,BEAR MOUNTAIN LTD (100%);,161364,C
2014,Barre Generating Station,1000517,10670 DALE AVE,33.8073,-117.9833,STANTON,Orange,CA,,,,90680,EDISON INTERNATIONAL (100%);,16315,D
2014,Blythe Energy,1001405,385 N. Buck Blvd.,33.6157,-114.6865,BLYTHE,Riverside,CA,,,,92225,AltaGas Ltd. (100%);,670970,D
2014,Broadway,1001458,85 EAST STATE ST,34.1263,-118.1494,PASADENA,Los Angeles,CA,,,,91105,City of Pasadena (100%);,42945,"C,D"
2014,CALPINE MONTEREY COGEN,1000617,831 WALKER STREET  ,36.91129,-121.76838,WATSONVILLE,SANTA CRUZ COUNTY,CA,,,,95076,Calpine Corporation (100%);,0,
2014,CARDINAL COGEN,1003344,288 CAMPUS DRIVE,37.43055,-122.17603,STANFORD,SANTA CLARA,CA,,,,94305,GENERAL ELECTRIC CO (GE CO) (100%);,222722,C
2014,CHALK CLIFF COGEN,1002759,34759 LENCIONI AVE,35.44675,-119.08652,BAKERSFIELD,KERN COUNTY,CA,,,,93308,Chalk Cliff Limited (100%);,73619,C
2014,"CORONA ENERGY PARTNERS, Ltd",1003175,34759 Lencioni Ave,35.44675,-119.08652,Bakersfield,KERN COUNTY,CA,,,,93308,"CORONA ENERGY PARTNERS, LTD (100%);",62148,C
2014,CPV Sentinel LLC,1010962,15775 Melissa Ln,33.934167,-116.571388,N. Palm Springs,RIVERSIDE,CA,,,,92258,"Voltage Finance, LLC (25%);Competitive Power Ventures Holdings, LLC (25%);Mitsubishi Corporation (Americas) (50%);",269760,D
2014,CROCKETT COGENERATION PLANT,1001629,550 LORING AVENUE,38.055905,-122.214441,CROCKETT,CONTRA COSTA,CA,,,,94525,"Crockett Cogeneration, A California Limited Partnership (100%);",821007,C
2014,Cabrillo Power I Encina Power Station,1005837,4600 CARLSBAD BLVD,33.1408,-117.3342,CARLSBAD,San Diego,CA,,,,92008,NRG ENERGY INC (100%);,382690,"C,D"
2014,Cabrillo Power II LLC - Kearny 2 & 3,1010540,5459 Complex Street,32.833812,-117.134588,San Diego,SAN DIEGO,CA,,,,92123,NRG Energy Inc. (100%);,17896,C
2014,CalPeak Power - Border LLC,1000065,2060 SANYO AVE,32.5622,-116.9433,SAN DIEGO,San Diego,CA,,,,92154,"Cogentrix Power Holdings III, LLC (100%);",9133,D
2014,CalPeak Power - Enterprise LLC,1007316,201 ENTERPRISE ST,33.1221,-117.117,ESCONDIDO,San Diego,CA,,,,92029,"Cogentrix Power Holdings III, LLC (100%);",10008,D
2014,CalPeak Power - Panoche LLC,1006745,43699 WEST PANOCHE ROAD,36.6531,-120.5797,FIREBAUGH,Fresno,CA,,,,93622,STARWOOD ENERGY GROUP (14.224%);TYR ENERGY (20%);GSO Special Situations Fund LP (65.776%);,0,
2014,CalPeak Power - Vaca Dixon LLC,1000058,5157 QUINN ROAD,38.3989,-121.9239,VACAVILLE,Solano,CA,,,,95688,TYR ENERGY (20%);GSO Special Situation Fund LP (65.776%);STARWOOD ENERGY GROUP (14.224%);,0,
2014,"California Resources Elk Hills, LLC - Gas Processing and Power Generation",1005164,28590 Highway 119,35.24084,-119.36056,TUPMAN,KERN COUNTY,CA,,,,93276,California Resources Corporation (100%);,1441352,"C,D,NN,W"
2014,"Calpine Gilroy Cogen, LP",1000453,1400 PACHECO PASS HWY,37.0001,-121.5367,GILROY,Santa Clara,CA,,,,95020,CALPINE CORP (100%);,59001,"C,D"
2014,"Calpine King City Cogen, LLC",1000597,750 Metz Road,36.2257,-121.1279,King City,MONTEREY,CA,,,,93930,CALPINE CORP (100%);,232603,C
2014,Calpine Sutter Energy Center,1001320,5029 SOUTH TOWNSHIP ROAD,39.0531,-121.6939,YUBA CITY,Sutter,CA,,,,95993,CALPINE CORP (100%);,475152,D
2014,Canyon Power Plant,1000566,3071 E. Miraloma Avenue,33.8581,-117.8616,"Anaheim, CA",Orange,CA,,,,92806,SOUTHERN CALIFORNIA PUBLIC POWER AUTHORITY (100%);,53466,D
2014,Carson Cogeneration,1001127,8580 Laguna Station Rd,38.4461,-121.4614,ELK GROVE,Sacramento,CA,,,,95758,CENTRAL VALLEY FINANCING AUTHORITY (100%);,200512,"C,D"
2014,Carson Cogeneration Company,1000422,17171 S CENTRAL AVE,33.8759,-118.2491,CARSON,Los Angeles,CA,,,,90746,Carson Cogeneration Company (100%);,17187,D
2014,Center Generating Station,1000518,10639 FIRESTONE BLVD,33.9297,-118.1047,NORWALK,Los Angeles,CA,,,,90650,EDISON INTERNATIONAL (100%);,10834,D
2014,Chula Vista Energy Center,1000075,3497 MAIN ST CHULA VISTA,32.5914,-117.0586,CHULA VISTA,San Diego,CA,,,,91911,"CHULA VISTA ENERGY CENTER, LLC (100%);",1037,D
2014,Coalinga Cogeneration Company,1007204,32812 WEST GALE AVE,36.1807,-120.3885,COALINGA,Fresno,CA,,,,93210,CHEVRON CORP (100%);,209417,"D,DD"
2014,Contra Costa Generating Station,1007313,3201 WILBUR AVE,38.0184,-121.761,ANTIOCH,Contra Costa,CA,,,,94509,NRG ENERGY INC. (100%);,0,
2014,Coolwater Generating Station,1001445,37000 EAST SANTA FE ST,34.8622,-116.854,DAGGETT,San Bernardino,CA,,,,92327,NRG ENERGY INC (100%);,154855,D
2014,Cosumnes Power Plant,1000323,14295A Clay East Road,38.3383,-121.1239,HERALD,Sacramento,CA,,,,95638,Sacramento Municipal Utility District Financing Authority (100%);,1475834,D
2014,Creed Energy Center,1000080,6150 CREED ROAD,38.2419,-121.8551,SUISUN CITY,Solano,CA,,,,94585,CALPINE CORP (100%);,6638,D
2014,Cuyamaca Energy Facility,1000067,200 NORTH JOHNSON AVE,32.7971,-116.972,EL CAJON,San Diego,CA,,,,92020,SEMPRA ENERGY INC (100%);,13845,D
2014,DOUBLE C LIMITED,1002820,10245 OILFIELD ROAD,35.490363,-119.042957,BAKERSFIELD,KERN,CA,,,,93308,DOUBLE C LTD (100%);,16625,C
2014,DTE Stockton,1000572,2526 W. Washington St.,37.9416,-121.3273,Stockton,San Joaquin,CA,,,,95203,DTE ENERGY CO (100%);,6411,"C,D"
2014,"Delano Energy Center, LLC",1011190,,35.790939,-119.294464,Delano,Tulare,CA,,,,93215,"Delano Energy Center, LLC (100%);",14450,D
